ORDERID,LINENUMBER,SUBLINENUMBER,EVENTTYPEID,COLUMN_NAME,VALUE_FILE1,VALUE_FILE2
BB-403255136A-403255137A-3116265,20240705,3097953259,BroadBand Closed,PRODUCTID,3115585,3116265
BB-403255136A-403255137A-3116265,20240705,3097953259,BroadBand Closed,PONUMBER,13811278956,461176.0
BB-403255136A-403255137A-3116265,20240705,3097953259,BroadBand Closed,BILLTOADDRESS3,20240730174845.0,20240730000000
BB-403255136A-403255137A-3116265,20240705,3097953259,BroadBand Closed,GENERICATTRIBUTE7,SNBB Recon (Main),
BB-403255136A-403255137A-3116265,20240705,3097953259,BroadBand Closed,GENERICATTRIBUTE20,Product ID updated based on the Bundle Order,
BB-403255136A-403255137A-3116265,20240705,3097953259,BroadBand Closed,GENERICATTRIBUTE25,17291341.0,17291351.0
BB-403253716A-403253719A-15021551,20240705,3097952176,BroadBand Closed,PONUMBER,13811264573,459737.0
BB-403253716A-403253719A-15021551,20240705,3097952176,BroadBand Closed,BILLTOADDRESS3,20240730144556.0,20240730000000
BB-403253716A-403253719A-15021551,20240705,3097952176,BroadBand Closed,GENERICATTRIBUTE7,New  VAS subscription  with New Main Plan,
BB-402865163A-402865166A-18707771,20240703,3097253919,BroadBand Closed,PONUMBER,13811306595,463957.0
BB-402865163A-402865166A-18707771,20240703,3097253919,BroadBand Closed,BILLTOADDRESS3,20240730224639.0,20240730000000
BB-402865163A-402865166A-18707771,20240703,3097253919,BroadBand Closed,GENERICATTRIBUTE7,New  VAS subscription  with New Main Plan,
BB-402865163A-402865166A-3077666,20240703,3097253927,BroadBand Closed,PONUMBER,13811306595,463957.0
