H|20240903 19:31:41|EPC_ProductList|   
RECORD_TYPE|PROMO_CODE|PROMO_DESCRIPTION|START_DATE|END_DATE|AUTO_IND|RANK|MODEL|BRAND|DISCOUNT|SRC|SALES_CHANNEL|TRANS
D|101514700N|$150 OFF IPHONE RRP (SIM ONLY IPP)|2017-12-16T00:00:00|2018-08-10T23:59:59|N||*|*|*|DBU|*|*
D|101510670N|$48 OFF OPPO A73 (GA COMBO 2)|2016-01-01T00:00:00|2018-08-17T23:59:59|N||*|*|*|DBU|*|*
D|101511060N|$200 OFF OPPO R15 PRO (GA C3 N ABV)|2016-01-01T00:00:00|2018-08-17T23:59:59|N||*|*|*|DBU|*|*
D|101513530N|$100 OFF HANDSET (PORT-IN ON C2)|2016-01-01T00:00:00|2018-08-17T23:59:59|N||*|*|*|DBU|*|*
D|101510090N|$200 OFF HANDSET (PORT-IN C3 N ABV)|2016-01-01T00:00:00|2018-08-24T23:59:59|N||*|*|*|DBU|*|*
D|101514580N|$100 OFF CIS APPLE WATCH W IPHONE|2018-04-21T00:00:00|2018-08-24T23:59:59|N||*|*|*|CIS|*|*
D|101514850N|$100 OFF SAMSUNG S8 (GA COMBO XO)|2016-01-01T00:00:00|2018-08-24T23:59:59|N||*|*|*|DBU|*|*
D|101514860N|$20 OFF SAMSUNG S8 (GA COMBO XO)|2016-01-01T00:00:00|2018-08-24T23:59:59|N||*|*|*|DBU|*|*
D|101511550N|$225 OFF CIS IPHONE X 256GB|2018-07-21T00:00:00|2018-08-31T23:59:59|N||*|*|*|CIS|*|*
D|101514550N|$100 OFF CIS HANDSET W INFINITY|2018-05-31T00:00:00|2018-08-31T23:59:59|N||*|*|*|DBU|*|*
D|101510160N|$50 OFF ST-UOB WELCOME OFFER|2016-01-01T00:00:00|2018-09-05T23:59:59|N||*|*|*|DBU|*|*
D|101514850N|$100 OFF HANDSET (GA C3 N ABV)|2016-01-01T00:00:00|2018-09-05T23:59:59|N||*|*|*|DBU|*|*
D|101514210N|$50 OFF ANY HANSET WITH FHB (NEW/MIG)|2018-07-14T00:00:00|2018-09-10T23:59:59|N||*|*|*|BB PM|*|*
D|101514620N|$100 OFF ANY HANSET WITH FHB (NEW/MIG)|2018-07-14T00:00:00|2018-09-10T23:59:59|N||*|*|*|BB PM|*|*
D|101511120N|$97 OFF HUAWEI NOVA 3I (GA COMBO 2)|2016-01-01T00:00:00|2018-09-14T23:59:59|N||*|*|*|DBU|*|*
D|101512650N|$100 OFF S9_S9P (TRADE-IN PROMO)|2016-01-01T00:00:00|2018-09-14T23:59:59|N||*|*|*|DBU|*|*
D|101511440N|$100 OFF SAMSUNG HANDSETS|2016-01-01T00:00:00|2018-09-16T23:59:59|N||*|*|*|DBU|*|*
D|101510060N|$300 OFF IPHONE X (C2 N ABV W DATAX3)|2016-01-01T00:00:00|2018-09-20T23:59:59|N||*|*|*|DBU|*|*
D|101513310N|$75 OFF CIS IPHONE X 256GB|2018-07-21T00:00:00|2018-09-28T23:59:59|N||*|*|*|CIS|*|*
D|101510090N|$398 OFF Tab A8 W MobileShare (N9 promo)|2018-08-25T00:00:00|2018-10-05T00:00:00|N||*|*|*|MB PM|*|*
D|101511060N|$200 OFF HANDSET (GA C3 N ABV)|2016-01-01T00:00:00|2018-10-26T23:59:59|N||*|*|*|DBU|*|*
