H|20240228 22:21:02|EPC_ProductList|   
RECORD_TYPE|PRODUCT_ID|PRODUCT_DESCRIPTION|SERVICE_TYPE|BUSINESS_PRODUCT_TYPE|PRODUCT_FAMILY|LIST_PRICE|SPEED|EFFECTIVE_DATE|EXPIRATION_DATE|PO_TYPE|FV_SVC_TECHNOLOGY|OFFER_TYPE
D|8796042|Discount on Fibre Hm Plan (Free 2 mth)|GLP|VAS|Disc Fibre Home Plan||null|19900101|21200101|FHB|PSTN|
D|8796052|Discount on Fibre Hm Plan (Free 3 mth)|GLP|VAS|Disc Fibre Home Plan||null|19900101|21200101|FHB|PSTN|
D|8796062|Discount on Fibre Hm Plan (Free 6 mth)|GLP|VAS|Disc Fibre Home Plan||null|19900101|21200101|FHB|PSTN|
D|8796072|Discount on Fibre Hm Plan (Free 4 mth)|GLP|VAS|Disc Fibre Home Plan||null|19900101|21200101|FHB|PSTN|
D|8796082|Discount on Fibre Hm Plan (Free 5 mth)|GLP|VAS|Disc Fibre Home Plan||null|19900101|21200101|FHB|PSTN|
D|8796132|Discount on STAFF Fibre Hm (Duration:Infinite,Percent:25.02%)|GLP|VAS|DiscStaff||null|19900101|21200101|FHB|Fibre|Gamer
D|8796142|Discount on Fibre Ent (Duration:infinite,Percent:12.52%) [Recon/Salvage]|GLP|VAS|Disc Fibre Entertainment Bundle||null|19900101|21200101|FEB|PSTN|
D|8796612|Discount on Family Protection (CT: 0 mth) (Duration: 12 months, Percent: 100%)|FBB|VAS|Disc Security Suite||null|19900101|21200101|FHB|PSTN|
D|8823622|100% Discount on 2nd Singtel Telephone Line|FV|VAS|Disc Call Plus Pack||null|19900101|21200101|FHB|PSTN|
D|8901572|Singtel Telephone Line (Residential) Discount|FV|VAS|Disc Singtel Telephone Line||null|19900101|21200101|FV|PSTN|
D|8901582|100% Discount on Wiring up to 50m (Residential)|FV|null|Disc FV||null|19900101|21200101|FHB|PSTN|
D|8901632|100% Discount on Singtel Telephone Line Connection Fee (Singtel TV)|FV|null|Disc Singtel Telephone Line||null|19900101|21200101|FHB|PSTN|
D|8901652|50% Discount on 2nd Singtel Telephone Line|FV|VAS|CrossDisc||null|19900101|21200101|FHB|PSTN|
D|9007882|HPNA Device Monthly Charge (Duration : 24mths)|TV|VAS|Disc BB||null|19900101|22500808|||
D|9037182|Discount on Security Suite (MacOS) (Duration: 3 months, Percent: 100%)|FBB|VAS|Disc Security Suite||null|19900101|21200101|FHB|PSTN|
D|9045882|Free BB Supplementary Email (1 mth)|FBB|VAS|Disc Supplementary Email||null|19900101|21200101|FHB|PSTN|
D|9051892|Mobile Multi Line Subscription Discount - 10% (0% wef 1 Jun 22)|MOB|VAS|MultiLineDisc||null|19900101|21200101|||Regular
D|9052602|Mobile Multi Line Subscription Discount - 15% (0% wef 1 Jun 22)|MOB|VAS|MultiLineDisc||null|19900101|21200101|||Regular
D|9052612|Mobile Multi Line Subscription Discount - 20% (0% wef 1 Jun 22)|MOB|VAS|MultiLineDisc||null|19900101|21200101|||Regular
D|9052622|Mobile Multi Line Subscription Discount - 25% (0% wef 1 Jun 22)|MOB|VAS|MultiLineDisc||null|19900101|21200101|||Regular
D|9052632|Mobile Multi Line Subscription Discount - 30% (0% wef 1 Jun 22)|MOB|VAS|MultiLineDisc||null|19900101|21200101|||Regular
D|9059452|50% Discount on Fixed Voice|null|VAS|Disc Cross Product||null|19900101|22500808|||
D|9059492|IDD Discount For Bundle (v019 only)|FV|null|Usage_disc|0|null|19900101|21200101|FHB|PSTN|
D|9059492|IDD Discount For Bundle (v019 only)|FV|VAS|Usage_disc|0|null|19900101|21200101|FHB|PSTN|
D|9189112|50% Discount for 12 mths on 24 mths France 24 (French)|TV|VAS|Disc TV||null|19900101|21200101|||
D|9189122|50% Discount for 3 mths on France 24 (French)|TV|VAS|Disc TV||null|19900101|21200101|||
D|9189132|50% Discount for 6 mths on France 24 (French)|TV|VAS|Disc TV||null|19900101|21200101|||
D|9281653|Multi-SIM Service Subscription Discount - 100% (3 mths)|MOB|VAS|DiscMultiSim||null|19900101|21200101|||Regular
D|9294983|3Cs Life Pak (Staff)|FV|VAS|DiscStaff||null|19900101|null|FV|PSTN|
D|9294983|3Cs Life Pak (Staff)|FV|null|DiscStaff|0|null|19900101|null|FV|PSTN|
D|9294993|BZ Life Pak (Staff)|FV|VAS|DiscStaff||null|19900101|null|FV|PSTN|
D|9294993|BZ Life Pak (Staff)|FV|null|DiscStaff|0|null|19900101|null|FV|PSTN|
D|9295693|Staff Discount for IDD, BudgetCall Svcs|null|null|Discv019|0|null|19900101|null|||
D|9300553|Discount on Family Protection (Duration: 3 months, Percent: 100%)|null|VAS|Disc BB||null|19900101|null|||
D|9303483|Discount on Family Protection (CT: 0 mth) (Duration: 3 months, Percent: 100%)|FBB|VAS|Disc Family Protection||null|19900101|21200101|FHB|PSTN|
D|9319063|NetLink Trust Installation 100% Discount|EQMT|null|Disc NetLink||null|20130101|21200101|FHB|PSTN|
D|9319073|NetLink Trust Installation $220 Discount (excl GST)|EQMT|null|Not Applicable||null|20170423|21200101|FHB|PSTN|
D|9319083|Singtel Telephone Line (Staff)|FV|VAS|DiscStaff||null|20130101|null|FV|PSTN|
D|9319083|Singtel Telephone Line (Staff)|FV|null|DiscStaff|0|null|20130101|null|FV|PSTN|
D|9439233|Free 1 mths on No Contract Singtel TV GO Service - Watch TV (5/3/1 Devices)|TV|VAS|Disc TV||null|19900101|21200101|||
