Validation	Team	Title	StartDate	EndDate	Band	Min 	Max	Rate
	Must match Team in Callidus Exactly	Must match title in Callidus Exactly	Month Start Date YYYY-MM-DD	Month End Date YYYY-MM-DD	Pick from drop down	Enter number without commas and % sign	Enter number without commas and % sign	Enter number without commas and % sign
OK	STS - Singtel Shop Causeway Point	STS - Retail Exec	2023-10-01	2024-06-30	BAND 1	93	100	10
OK	STS - Singtel Shop Causeway Point	STS - Assistant Manager	2023-10-01	2024-06-30	BAND 5	0	88	-10
OK	STS - Singtel Shop Causeway Point	STS - Assistant Manager	2023-10-01	2024-06-30	BAND 4	89	89	-5
OK	STS - Singtel Shop Causeway Point	STS - Assistant Manager	2023-10-01	2024-06-30	BAND 3	90	90	0
OK	STS - Singtel Shop Causeway Point	STS - Assistant Manager	2023-10-01	2024-06-30	BAND 2	91	92	5
OK	STS - Singtel Shop Causeway Point	STS - Assistant Manager	2023-10-01	2024-06-30	BAND 1	93	100	10
OK	STS - Singtel Shop Causeway Point	STS - Technical Mgr	2023-10-01	2024-06-30	BAND 5	0	88	-10
OK	STS - Singtel Shop Causeway Point	STS - Technical Mgr	2023-10-01	2024-06-30	BAND 4	89	89	-5
OK	STS - Singtel Shop Causeway Point	STS - Technical Mgr	2023-10-01	2024-06-30	BAND 3	90	90	0
OK	STS - Singtel Shop Causeway Point	STS - Technical Mgr	2023-10-01	2024-06-30	BAND 2	91	92	5
OK	STS - Singtel Shop Causeway Point	STS - Technical Mgr	2023-10-01	2024-06-30	BAND 1	93	100	10
OK	STS - Singtel Shop Causeway Point	STS - Store Mgr	2023-10-01	2024-06-30	BAND 5	0	88	-10
OK	STS - Singtel Shop Causeway Point	STS - Store Mgr	2023-10-01	2024-06-30	BAND 4	89	89	-5
OK	STS - Singtel Shop Causeway Point	STS - Store Mgr	2023-10-01	2024-06-30	BAND 3	90	90	0
OK	STS - Singtel Shop Causeway Point	STS - Store Mgr	2023-10-01	2024-06-30	BAND 2	91	92	5
OK	STS - Singtel Shop Causeway Point	STS - Store Mgr	2023-10-01	2024-06-30	BAND 1	93	100	10
OK	STS - Singtel Shop Comcentre	STS - Retail Exec	2023-10-01	2024-06-30	BAND 5	0	88	-10
OK	STS - Singtel Shop Comcentre	STS - Retail Exec	2023-10-01	2024-06-30	BAND 4	89	89	-5
OK	STS - Singtel Shop Comcentre	STS - Retail Exec	2023-10-01	2024-06-30	BAND 3	90	90	0
OK	STS - Singtel Shop Comcentre	STS - Retail Exec	2023-10-01	2024-06-30	BAND 2	91	92	5
OK	STS - Singtel Shop Comcentre	STS - Retail Exec	2023-10-01	2024-06-30	BAND 1	93	100	10
OK	STS - Singtel Shop Comcentre	STS - Assistant Manager	2023-10-01	2024-06-30	BAND 5	0	88	-10
OK	STS - Singtel Shop Comcentre	STS - Assistant Manager	2023-10-01	2024-06-30	BAND 4	89	89	-5
OK	STS - Singtel Shop Comcentre	STS - Assistant Manager	2023-10-01	2024-06-30	BAND 3	90	90	0
OK	STS - Singtel Shop Comcentre	STS - Assistant Manager	2023-10-01	2024-06-30	BAND 2	91	92	5
OK	STS - Singtel Shop Comcentre	STS - Assistant Manager	2023-10-01	2024-06-30	BAND 1	93	100	10
OK	STS - Singtel Shop Comcentre	STS - Technical Mgr	2023-10-01	2024-06-30	BAND 5	0	88	-10
OK	STS - Singtel Shop Comcentre	STS - Technical Mgr	2023-10-01	2024-06-30	BAND 4	89	89	-5
OK	STS - Singtel Shop Comcentre	STS - Technical Mgr	2023-10-01	2024-06-30	BAND 3	90	90	0
OK	STS - Singtel Shop Comcentre	STS - Technical Mgr	2023-10-01	2024-06-30	BAND 2	91	92	5
OK	STS - Singtel Shop Comcentre	STS - Technical Mgr	2023-10-01	2024-06-30	BAND 1	93	100	10
OK	STS - Singtel Shop Comcentre	STS - Store Mgr	2023-10-01	2024-06-30	BAND 5	0	88	-10
OK	STS - Singtel Shop Comcentre	STS - Store Mgr	2023-10-01	2024-06-30	BAND 4	89	89	-5
OK	STS - Singtel Shop Comcentre	STS - Store Mgr	2023-10-01	2024-06-30	BAND 3	90	90	0
OK	STS - Singtel Shop Comcentre	STS - Store Mgr	2023-10-01	2024-06-30	BAND 2	91	92	5
OK	STS - Singtel Shop Comcentre	STS - Store Mgr	2023-10-01	2024-06-30	BAND 1	93	100	10
OK	STS - Singtel Shop Jurong Point	STS - Retail Exec	2023-10-01	2024-06-30	BAND 5	0	88	-10
OK	STS - Singtel Shop Jurong Point	STS - Retail Exec	2023-10-01	2024-06-30	BAND 4	89	89	-5
OK	STS - Singtel Shop Jurong Point	STS - Retail Exec	2023-10-01	2024-06-30	BAND 3	90	90	0
OK	STS - Singtel Shop Jurong Point	STS - Retail Exec	2023-10-01	2024-06-30	BAND 2	91	92	5
OK	STS - Singtel Shop Jurong Point	STS - Retail Exec	2023-10-01	2024-06-30	BAND 1	93	100	10
OK	STS - Singtel Shop Jurong Point	STS - Assistant Manager	2023-10-01	2024-06-30	BAND 5	0	88	-10
OK	STS - Singtel Shop Jurong Point	STS - Assistant Manager	2023-10-01	2024-06-30	BAND 4	89	89	-5
OK	STS - Singtel Shop Jurong Point	STS - Assistant Manager	2023-10-01	2024-06-30	BAND 3	90	90	0
OK	STS - Singtel Shop Jurong Point	STS - Assistant Manager	2023-10-01	2024-06-30	BAND 2	91	92	5
OK	STS - Singtel Shop Jurong Point	STS - Assistant Manager	2023-10-01	2024-06-30	BAND 1	93	100	10
OK	STS - Singtel Shop Jurong Point	STS - Technical Mgr	2023-10-01	2024-06-30	BAND 5	0	88	-10
OK	STS - Singtel Shop Jurong Point	STS - Technical Mgr	2023-10-01	2024-06-30	BAND 4	89	89	-5
OK	STS - Singtel Shop Jurong Point	STS - Technical Mgr	2023-10-01	2024-06-30	BAND 3	90	90	0
OK	STS - Singtel Shop Jurong Point	STS - Technical Mgr	2023-10-01	2024-06-30	BAND 2	91	92	5
OK	STS - Singtel Shop Jurong Point	STS - Technical Mgr	2023-10-01	2024-06-30	BAND 1	93	100	10
OK	STS - Singtel Shop Jurong Point	STS - Store Mgr	2023-10-01	2024-06-30	BAND 5	0	88	-10
OK	STS - Singtel Shop Jurong Point	STS - Store Mgr	2023-10-01	2024-06-30	BAND 4	89	89	-5
OK	STS - Singtel Shop Jurong Point	STS - Store Mgr	2023-10-01	2024-06-30	BAND 3	90	90	0
OK	STS - Singtel Shop Jurong Point	STS - Store Mgr	2023-10-01	2024-06-30	BAND 2	91	92	5
OK	STS - Singtel Shop Jurong Point	STS - Store Mgr	2023-10-01	2024-06-30	BAND 1	93	100	10
OK	STS - Singtel Shop Tampines Mall	STS - Retail Exec	2023-10-01	2024-06-30	BAND 5	0	88	-10
OK	STS - Singtel Shop Tampines Mall	STS - Retail Exec	2023-10-01	2024-06-30	BAND 4	89	89	-5
OK	STS - Singtel Shop Tampines Mall	STS - Retail Exec	2023-10-01	2024-06-30	BAND 3	90	90	0
OK	STS - Singtel Shop Tampines Mall	STS - Retail Exec	2023-10-01	2024-06-30	BAND 2	91	92	5
OK	STS - Singtel Shop Tampines Mall	STS - Retail Exec	2023-10-01	2024-06-30	BAND 1	93	100	10
OK	STS - Singtel Shop Tampines Mall	STS - Assistant Manager	2023-10-01	2024-06-30	BAND 5	0	88	-10
OK	STS - Singtel Shop Tampines Mall	STS - Assistant Manager	2023-10-01	2024-06-30	BAND 4	89	89	-5
OK	STS - Singtel Shop Tampines Mall	STS - Assistant Manager	2023-10-01	2024-06-30	BAND 3	90	90	0
OK	STS - Singtel Shop Tampines Mall	STS - Assistant Manager	2023-10-01	2024-06-30	BAND 2	91	92	5
OK	STS - Singtel Shop Tampines Mall	STS - Assistant Manager	2023-10-01	2024-06-30	BAND 1	93	100	10
OK	STS - Singtel Shop Tampines Mall	STS - Technical Mgr	2023-10-01	2024-06-30	BAND 5	0	88	-10
OK	STS - Singtel Shop Tampines Mall	STS - Technical Mgr	2023-10-01	2024-06-30	BAND 4	89	89	-5
OK	STS - Singtel Shop Tampines Mall	STS - Technical Mgr	2023-10-01	2024-06-30	BAND 3	90	90	0
OK	STS - Singtel Shop Tampines Mall	STS - Technical Mgr	2023-10-01	2024-06-30	BAND 2	91	92	5
OK	STS - Singtel Shop Tampines Mall	STS - Technical Mgr	2023-10-01	2024-06-30	BAND 1	93	100	10
OK	STS - Singtel Shop Tampines Mall	STS - Store Mgr	2023-10-01	2024-06-30	BAND 5	0	88	-10
OK	STS - Singtel Shop Tampines Mall	STS - Store Mgr	2023-10-01	2024-06-30	BAND 4	89	89	-5
OK	STS - Singtel Shop Tampines Mall	STS - Store Mgr	2023-10-01	2024-06-30	BAND 3	90	90	0
OK	STS - Singtel Shop Tampines Mall	STS - Store Mgr	2023-10-01	2024-06-30	BAND 2	91	92	5
OK	STS - Singtel Shop Tampines Mall	STS - Store Mgr	2023-10-01	2024-06-30	BAND 1	93	100	10
OK	STS - Singtel Shop Ang Mo Kio Hub	STS - Retail Exec	2023-10-01	2024-06-30	BAND 5	0	88	-10
OK	STS - Singtel Shop Ang Mo Kio Hub	STS - Retail Exec	2023-10-01	2024-06-30	BAND 4	89	89	-5
OK	STS - Singtel Shop Ang Mo Kio Hub	STS - Retail Exec	2023-10-01	2024-06-30	BAND 3	90	90	0
OK	STS - Singtel Shop Ang Mo Kio Hub	STS - Retail Exec	2023-10-01	2024-06-30	BAND 2	91	92	5
OK	STS - Singtel Shop Ang Mo Kio Hub	STS - Retail Exec	2023-10-01	2024-06-30	BAND 1	93	100	10
OK	STS - Singtel Shop Ang Mo Kio Hub	STS - Assistant Manager	2023-10-01	2024-06-30	BAND 5	0	88	-10
OK	STS - Singtel Shop Ang Mo Kio Hub	STS - Assistant Manager	2023-10-01	2024-06-30	BAND 4	89	89	-5
OK	STS - Singtel Shop Ang Mo Kio Hub	STS - Assistant Manager	2023-10-01	2024-06-30	BAND 3	90	90	0
OK	STS - Singtel Shop Ang Mo Kio Hub	STS - Assistant Manager	2023-10-01	2024-06-30	BAND 2	91	92	5
OK	STS - Singtel Shop Ang Mo Kio Hub	STS - Assistant Manager	2023-10-01	2024-06-30	BAND 1	93	100	10
OK	STS - Singtel Shop Ang Mo Kio Hub	STS - Technical Mgr	2023-10-01	2024-06-30	BAND 5	0	88	-10
OK	STS - Singtel Shop Ang Mo Kio Hub	STS - Technical Mgr	2023-10-01	2024-06-30	BAND 4	89	89	-5
OK	STS - Singtel Shop Ang Mo Kio Hub	STS - Technical Mgr	2023-10-01	2024-06-30	BAND 3	90	90	0
OK	STS - Singtel Shop Ang Mo Kio Hub	STS - Technical Mgr	2023-10-01	2024-06-30	BAND 2	91	92	5
OK	STS - Singtel Shop Ang Mo Kio Hub	STS - Technical Mgr	2023-10-01	2024-06-30	BAND 1	93	100	10
OK	STS - Singtel Shop Ang Mo Kio Hub	STS - Store Mgr	2023-10-01	2024-06-30	BAND 5	0	88	-10
OK	STS - Singtel Shop Ang Mo Kio Hub	STS - Store Mgr	2023-10-01	2024-06-30	BAND 4	89	89	-5
OK	STS - Singtel Shop Ang Mo Kio Hub	STS - Store Mgr	2023-10-01	2024-06-30	BAND 3	90	90	0
OK	STS - Singtel Shop Ang Mo Kio Hub	STS - Store Mgr	2023-10-01	2024-06-30	BAND 2	91	92	5
