ORDERID,LINENUMBER,SUBLINENUMBER,EVENTTYPEID,COLUMN_NAME,ORACLE,HANA
BB-406655060A-406655061A-17893091,20240725,3072230966,BroadBand Submitted,PONUMBER,13798223829.0,11355.0
BB-406655060A-406655061A-17893091,20240725,3072230966,BroadBand Submitted,GENERICATTRIBUTE7,VAS Cease in 30 days,
BB-406623527A-406623528A-17291351,20240725,3103452183,BroadBand Submitted,PONUMBER,13798207357.0,11097.0
BB-406623527A-406623528A-17291351,20240725,3103452183,BroadBand Submitted,GENERICATTRIBUTE7,SNBB Recon (Main),
BB-406625341A-406625342A-2572995,20240725,3096488582,BroadBand Submitted,PONUMBER,13738251928.0,12255.0
BB-406625341A-406625342A-2572995,20240725,3096488582,BroadBand Submitted,GENERICATTRIBUTE7,VAS Cease in 30 days,
BB-406625341A-406625342A-3622025,20240725,3096488584,BroadBand Submitted,PONUMBER,13738251928.0,12255.0
BB-406625341A-406625342A-3622025,20240725,3096488584,BroadBand Submitted,GENERICATTRIBUTE7,VAS Cease in 30 days,
BB-406625341A-406625342A-71964226,20240725,3096488591,BroadBand Submitted,PONUMBER,13738251928.0,12255.0
BB-406625341A-406625342A-71964226,20240725,3096488591,BroadBand Submitted,GENERICATTRIBUTE7,VAS Cease in 30 days,
BB-406625388A-406625391A-2554735,20240725,3103455895,BroadBand Submitted,PONUMBER,13798208383.0,11118.0
BB-406625388A-406625391A-2554735,20240725,3103455895,BroadBand Submitted,GENERICATTRIBUTE7,New  VAS subscription with Existing Line,
BB-406625388A-406625391A-18660931,20240725,3103455912,BroadBand Submitted,PONUMBER,13798208383.0,11118.0
BB-406625388A-406625391A-18660931,20240725,3103455912,BroadBand Submitted,GENERICATTRIBUTE7,New  VAS subscription with Existing Line,
BB-406626961A-406626962A-2572995,20240725,3103456832,BroadBand Submitted,PONUMBER,13798281320.0,12345.0
BB-406626961A-406626962A-2572995,20240725,3103456832,BroadBand Submitted,GENERICATTRIBUTE7,New  VAS subscription with Existing Line,
BB-406626961A-406626962A-15021551,20240725,3103456837,BroadBand Submitted,PONUMBER,13798281320.0,12345.0
BB-406626961A-406626962A-15021551,20240725,3103456837,BroadBand Submitted,GENERICATTRIBUTE7,New  VAS subscription with Existing Line,
BB-406627636A-406627641A-2646395,20240725,3103457094,BroadBand Submitted,PONUMBER,13798227475.0,11424.0
BB-406627636A-406627641A-2646395,20240725,3103457094,BroadBand Submitted,GENERICATTRIBUTE7,New  VAS subscription  with New Main Plan,
BB-406636836A-406636837A-3548605,20240725,3096058520,BroadBand Submitted,PONUMBER,13733970090.0,12140.0
BB-406636836A-406636837A-3548605,20240725,3096058520,BroadBand Submitted,GENERICATTRIBUTE7,VAS Cease in 30 days,
BB-406636836A-406636837A-3077666,20240725,3096058527,BroadBand Submitted,PONUMBER,13733970090.0,12140.0
BB-406636836A-406636837A-3077666,20240725,3096058527,BroadBand Submitted,GENERICATTRIBUTE7,VAS Cease in 30 days,
BB-406661440A-406661441A-9046602,20240725,131301451,BroadBand Submitted,PONUMBER,13798249861.0,11790.0
BB-406661440A-406661441A-9046602,20240725,131301451,BroadBand Submitted,GENERICATTRIBUTE7,SNBB Recon (Main),
BB-406661440A-406661441A-18660931,20240725,2540689044,BroadBand Submitted,PONUMBER,13798249861.0,11790.0
BB-406661440A-406661441A-18660931,20240725,2540689044,BroadBand Submitted,GENERICATTRIBUTE7,VAS Cease in 30 days,
BB-406674169A-406674170A-13899281,20240725,3045028667,BroadBand Submitted,PONUMBER,13798234692.0,11543.0
BB-406674169A-406674170A-13899281,20240725,3045028667,BroadBand Submitted,GENERICATTRIBUTE7,VAS Cease in 30 days,
BB-406674192A-406674195A-71773366,20240725,3103564720,BroadBand Submitted,PONUMBER,13798288815.0,12461.0
BB-406674192A-406674195A-71773366,20240725,3103564720,BroadBand Submitted,GENERICATTRIBUTE7,New  VAS subscription with Existing Line,
BB-406674379A-406674381A-2554715,20240725,3103562894,BroadBand Submitted,PONUMBER,13798280293.0,12326.0
BB-406674379A-406674381A-2554715,20240725,3103562894,BroadBand Submitted,GENERICATTRIBUTE7,New  VAS subscription with Existing Line,
BB-406674379A-406674381A-18707771,20240725,3103569368,BroadBand Submitted,PONUMBER,13798280293.0,12326.0
BB-406674379A-406674381A-18707771,20240725,3103569368,BroadBand Submitted,GENERICATTRIBUTE7,New  VAS subscription with Existing Line,
BB-406674379A-406674381A-15021551,20240725,3103569374,BroadBand Submitted,PONUMBER,13798280293.0,12326.0
BB-406674379A-406674381A-15021551,20240725,3103569374,BroadBand Submitted,GENERICATTRIBUTE7,New  VAS subscription with Existing Line,
BB-406674688A-406674691A-4436345,20240725,3103567891,BroadBand Submitted,PONUMBER,13798235324.0,11554.0
BB-406674688A-406674691A-4436345,20240725,3103567891,BroadBand Submitted,GENERICATTRIBUTE7,New  VAS subscription  with New Main Plan,
BB-406600558A-406600561A-4436345,20240725,3103411008,BroadBand Submitted,PONUMBER,13798237607.0,11598.0
BB-406600861A-406600862A-2277075,20240725,3103413585,BroadBand Submitted,PONUMBER,13798241115.0,11651.0
BB-406600861A-406600862A-2277075,20240725,3103413585,BroadBand Submitted,GENERICATTRIBUTE7,New  VAS subscription with Existing Line,
BB-406601335A-406601336A-71152596,20240725,3089991428,BroadBand Submitted,PONUMBER,13680630665.0,11719.0
BB-406601335A-406601336A-71152596,20240725,3089991428,BroadBand Submitted,GENERICATTRIBUTE7,VAS Cease in 30 days,
BB-406665980A-406665983A-18655531,20240725,3103549267,BroadBand Submitted,PONUMBER,13798260417.0,11996.0
BB-406665980A-406665983A-18655531,20240725,3103549267,BroadBand Submitted,GENERICATTRIBUTE7,New  VAS subscription  with New Main Plan,
BB-406665980A-406665983A-15021551,20240725,3103549268,BroadBand Submitted,PONUMBER,13798260417.0,11996.0
BB-406665980A-406665983A-15021551,20240725,3103549268,BroadBand Submitted,GENERICATTRIBUTE7,New  VAS subscription  with New Main Plan,
BB-406666082A-406666083A-3622025,20240725,3098714993,BroadBand Submitted,PONUMBER,13753986794.0,12355.0
BB-406666082A-406666083A-3622025,20240725,3098714993,BroadBand Submitted,COMMENTS,Ceased Txn - BB-403760359A-403760360A-3622025-20240708-3098714993,Cessation Txn
BB-406666082A-406666083A-3622025,20240725,3098714993,BroadBand Submitted,GENERICATTRIBUTE7,VAS Cease in 30 days,
BB-406665656A-406665657A-17291351,20240725,3103546190,BroadBand Submitted,PONUMBER,13798247557.0,11743.0
BB-406665656A-406665657A-17291351,20240725,3103546190,BroadBand Submitted,GENERICATTRIBUTE7,SNBB Recon (Main),
BB-406665696A-406665697A-17291351,20240725,2719157334,BroadBand Submitted,PONUMBER,13798295104.0,12570.0
BB-406665696A-406665697A-17291351,20240725,2719157334,BroadBand Submitted,GENERICATTRIBUTE7,SNBB Recon (Main),
