ORDERID,LINENUMBER,SUBLINENUMBER,EVENTTYPEID,COLUMN_NAME,ORACLE,HANA
TV-406655764A-406655765A26635944N,25072024,2783858874,TV Submitted,GENERICATTRIBUTE7,Main Plan Cease in 30 days,
TV-406662477A-406662478A8803392N,25072024,3103480562,TV Submitted,PONUMBER,13809202206,19175.0
TV-406662477A-406662478A8803392N,25072024,3103480562,TV Submitted,COMMENTS,Cessation Txn,Ceased Txn - TV-406638079A-406638080A8803392N-25072024-3103480562
TV-406662477A-406662478A8803392N,25072024,3103480562,TV Submitted,GENERICATTRIBUTE7,Main Plan Cease in 30 days,
TV-406643862A-406643863A14942N,25072024,2837468910,TV Submitted,PONUMBER,13809222828,19437.0
TV-406643862A-406643863A14942N,25072024,2837468910,TV Submitted,GENERICATTRIBUTE7,Main Plan Cease in 30 days,
TV-406658580A-406658581A10242181P,25072024,2714246309,TV Submitted,PONUMBER,13809182323,18638.0
TV-406658580A-406658581A8901882P,25072024,67750722,TV Submitted,PONUMBER,13809182323,18638.0
TV-406658580A-406658581A8848222P,25072024,2104097227,TV Submitted,PONUMBER,13809182323,18638.0
TV-406658580A-406658581A71245886P,25072024,2685366185,TV Submitted,PONUMBER,13809182323,18638.0
TV-406658580A-406658581A71795256P,25072024,2921105503,TV Submitted,PONUMBER,13809182323,18638.0
TV-406658580A-406658581A3024336P,25072024,2953710881,TV Submitted,PONUMBER,13809182323,18638.0
TV-406658580A-406658581A3371136P,25072024,3081028350,TV Submitted,PONUMBER,13809182323,18638.0
TV-406660177A-406660178A8848062P,25072024,62864146,TV Submitted,PONUMBER,13809173228,18525.0
TV-406660177A-406660178A8901882P,25072024,67717555,TV Submitted,PONUMBER,13809173228,18525.0
TV-406658580A-406658581A9442183P,25072024,61462518,TV Submitted,PONUMBER,13809182323,18638.0
TV-406660177A-406660178A2225965P,25072024,2886341332,TV Submitted,PONUMBER,13809173228,18525.0
TV-406660177A-406660178A71315716P,25072024,2918085375,TV Submitted,PONUMBER,13809173228,18525.0
TV-406660177A-406660178A71506996P,25072024,2918085377,TV Submitted,PONUMBER,13809173228,18525.0
TV-406660177A-406660178A12738041P,25072024,2918085380,TV Submitted,PONUMBER,13809173228,18525.0
TV-406639842A-406639843A8901882P,25072024,2737062159,TV Submitted,PONUMBER,13809197484,18956.0
TV-406640194A-406640195A11348831P,25072024,2025804937,TV Submitted,PONUMBER,13809197874,18995.0
TV-406618586A-406618587A10242181P,25072024,93245340,TV Submitted,PONUMBER,13809200927,19143.0
TV-406618586A-406618587A8901882P,25072024,2024426071,TV Submitted,PONUMBER,13809200927,19143.0
TV-406618586A-406618587A14942P,25072024,2024426072,TV Submitted,PONUMBER,13809200927,19143.0
TV-406640194A-406640195A10242181P,25072024,2025809542,TV Submitted,PONUMBER,13809197874,18995.0
TV-406640194A-406640195A8848062P,25072024,2025809543,TV Submitted,PONUMBER,13809197874,18995.0
TV-406640194A-406640195A8901882P,25072024,2025809545,TV Submitted,PONUMBER,13809197874,18995.0
TV-406602067A-406602068A10242181P,25072024,2022414874,TV Submitted,PONUMBER,13809196330,18870.0
TV-406602067A-406602068A8848062P,25072024,2561203364,TV Submitted,PONUMBER,13809196330,18870.0
TV-406602067A-406602068A8901882P,25072024,2561203366,TV Submitted,PONUMBER,13809196330,18870.0
TV-406645076A-406645077A11348831P,25072024,2049901965,TV Submitted,PONUMBER,13788058812,18754.0
TV-406645076A-406645077A10242181P,25072024,2254403939,TV Submitted,PONUMBER,13788058812,18754.0
TV-406645076A-406645077A10242181P,25072024,2666391610,TV Submitted,PONUMBER,13788058812,18754.0
TV-406645076A-406645077A14942P,25072024,3102265982,TV Submitted,PONUMBER,13788058812,18754.0
TV-406615706A-406615707A9441983P,25072024,2955731373,TV Submitted,PONUMBER,13809171943,18512.0
TV-406635196A-406635197A8901882P,25072024,2836949601,TV Submitted,PONUMBER,13613041840,18595.0
TV-406608416A-406608417A71349316P,25072024,3066866690,TV Submitted,PONUMBER,13809199296,19106.0
TV-406635196A-406635197A10242181P,25072024,2247719832,TV Submitted,PONUMBER,13613041840,18595.0
TV-406635196A-406635197A8848052P,25072024,2836949595,TV Submitted,PONUMBER,13613041840,18595.0
TV-406635196A-406635197A4450755P,25072024,3084528683,TV Submitted,PONUMBER,13613041840,18595.0
TV-406523557A-406523558A10242181P,24072024,92140660,TV Submitted,PONUMBER,13683570582,18562.0
TV-406523557A-406523558A8847212P,24072024,3092771492,TV Submitted,PONUMBER,13683570582,18562.0
TV-406523557A-406523558A71315726P,24072024,3092771494,TV Submitted,PONUMBER,13683570582,18562.0
TV-406523557A-406523558A8848722P,24072024,3092771496,TV Submitted,PONUMBER,13683570582,18562.0
TV-406523557A-406523558A71506996P,24072024,3092771498,TV Submitted,PONUMBER,13683570582,18562.0
TV-406523557A-406523558A12738041P,24072024,3092771500,TV Submitted,PONUMBER,13683570582,18562.0
TV-406523557A-406523558A12367221P,24072024,3092771501,TV Submitted,PONUMBER,13683570582,18562.0
TV-406523557A-406523558A13883621P,24072024,3092771503,TV Submitted,PONUMBER,13683570582,18562.0
TV-406523557A-406523558A71349316P,24072024,3092771505,TV Submitted,PONUMBER,13683570582,18562.0
TV-406523557A-406523558A9188422P,24072024,3092771507,TV Submitted,PONUMBER,13683570582,18562.0
TV-406514380A-406514381A11651801P,24072024,3069345858,TV Submitted,PONUMBER,13809193734,18776.0
TV-406514380A-406514381A25946604P,24072024,3069345852,TV Submitted,PONUMBER,13809193734,18776.0
TV-406514380A-406514381A18007451P,24072024,3069345854,TV Submitted,PONUMBER,13809193734,18776.0
TV-406514380A-406514381A9185572P,24072024,3069345856,TV Submitted,PONUMBER,13809193734,18776.0
